VT001,29A-123.45,Ô tô,Tháng,2023-10-01,2025-12-31,Nguyễn Văn A,0901234567
VT002,29B-999.99,Ô tô,Tháng,2023-11-15,2025-11-15,Trần Thị B,0912345678
VT003,30H-111.22,Xe Máy,Tháng,2024-01-01,2025-06-30,Lê Văn C,0987654321
VT004,29K1-555.66,Xe Máy,Tháng,2024-02-20,2024-05-20,Phạm Thị D,0977888999
VT005,29M1-777.88,Xe Máy,Tháng,2024-03-10,2025-03-10,Hoàng Văn E,0966555444
VT006,30A-666.66,Ô tô,Tháng,2023-09-05,2023-12-05,Đỗ Thị F,0955444333
VT007,29X1-333.33,Xe Đạp,Tháng,2024-01-01,2025-01-01,Ngô Văn G,0944333222
VT008,29Y1-222.22,Xe Máy,Tháng,2024-04-01,2024-05-01,Bùi Thị H,0933222111
VT009,30F-888.88,Ô tô,Tháng,2023-12-01,2025-12-01,Vũ Văn I,0922111000
VT010,29Z1-444.44,Xe Máy,Tháng,2024-02-15,2024-08-15,Đinh Thị K,0911000999
VT011,88AM-00965,Xe Máy,Tháng,2026-01-01,2026-02-01,Hà Văn D,0987654321
